topology;nb
3.40.50;674
2.60.40;577
1.10.10;142
3.30.70;140
3.40.190;106
2.60.120;97
3.30.420;91
3.30.200;78
1.10.510;75
1.10.287;68
2.40.50;66
1.20.5;60
1.10.8;57
2.30.30;55
2.40.10;53
3.20.20;52
3.10.20;51
3.40.30;49
3.30.450;48
1.10.238;42
1.20.120;42
1.10.150;40
1.25.40;40
2.40.30;37
1.20.58;35
3.30.1490;30
2.30.29;28
3.40.630;28
3.30.230;25
3.30.300;24
2.40.128;22
3.10.450;21
3.30.930;21
1.10.630;20
2.30.42;20
3.30.1330;20
3.30.40;19
3.30.470;19
3.50.50;19
6.10.250;19
1.10.357;18
6.10.140;17
2.130.10;16
3.30.505;16
1.10.533;15
3.30.160;15
3.30.565;15
2.10.50;14
3.10.310;14
3.30.1360;14
3.90.550;14
1.10.260;13
1.10.565;13
1.20.920;13
1.20.1070;13
1.20.1250;13
3.40.1190;13
1.10.1200;12
2.40.70;12
2.80.10;12
3.30.360;12
3.30.460;12
3.90.1150;12
2.10.25;11
2.10.60;11
2.10.70;11
2.30.39;11
3.90.190;11
1.10.490;10
1.10.530;10
1.25.10;10
2.20.25;10
3.10.28;10
3.30.60;10
3.30.497;10
3.40.640;10
3.40.718;10
1.10.760;9
1.20.1270;9
3.10.100;9
3.40.367;9
1.10.20;8
1.10.246;8
1.50.10;8
2.40.160;8
3.10.50;8
3.30.500;8
3.40.710;8
3.60.21;8
3.65.10;8
3.80.10;8
3.90.70;8
3.90.209;8
1.10.437;7
1.10.1040;7
1.20.1050;7
2.10.90;7
2.70.240;7
3.10.105;7
3.30.30;7
3.30.530;7
3.30.1120;7
3.40.91;7
3.60.20;7
3.90.79;7
3.90.640;7
1.10.390;6
1.10.1140;6
1.10.1220;6
1.20.900;6
1.20.1560;6
2.10.77;6
2.10.220;6
2.20.28;6
2.30.110;6
2.60.34;6
2.120.10;6
2.160.10;6
3.30.210;6
3.30.590;6
3.30.830;6
3.40.140;6
3.40.390;6
3.40.850;6
3.40.1160;6
3.40.1380;6
3.80.20;6
3.90.20;6
3.90.180;6
3.90.1200;6
1.10.135;5
1.10.220;5
1.10.560;5
1.10.600;5
1.20.91;5
1.20.140;5
1.20.1440;5
2.30.130;5
2.40.100;5
2.60.98;5
3.10.110;5
3.10.180;5
3.30.67;5
3.30.387;5
3.40.47;5
3.40.605;5
3.40.1170;5
3.50.30;5
3.90.110;5
3.90.226;5
3.90.470;5
1.10.240;4
1.10.268;4
1.10.274;4
1.10.400;4
1.10.472;4
1.10.730;4
1.10.1740;4
1.10.3210;4
1.20.80;4
1.20.85;4
1.20.272;4
1.20.1080;4
2.40.40;4
2.40.420;4
2.60.60;4
2.60.260;4
2.70.50;4
2.70.170;4
2.170.150;4
3.10.330;4
3.30.50;4
3.30.56;4
3.30.110;4
3.30.260;4
3.30.540;4
3.30.1370;4
3.30.1520;4
3.30.1600;4
3.30.1680;4
3.30.2320;4
3.40.309;4
3.90.105;4
3.90.199;4
3.90.930;4
3.90.1170;4
3.90.1640;4
3.100.10;4
4.10.410;4
1.10.132;3
1.10.230;3
1.10.286;3
1.10.580;3
1.10.620;3
1.10.720;3
1.10.1240;3
1.10.1300;3
1.10.3260;3
1.10.3460;3
1.10.3860;3
1.20.59;3
1.20.150;3
1.20.1060;3
1.20.1090;3
1.20.1130;3
1.20.1280;3
1.25.50;3
2.20.20;3
2.40.33;3
2.40.155;3
2.40.240;3
2.40.260;3
2.40.510;3
2.60.175;3
2.60.200;3
2.102.10;3
2.140.10;3
2.160.20;3
2.170.40;3
3.10.129;3
3.10.130;3
3.10.290;3
3.15.10;3
3.30.170;3
3.30.240;3
3.30.479;3
3.30.559;3
3.30.710;3
3.30.720;3
3.30.1140;3
3.30.1440;3
3.40.800;3
3.40.1010;3
3.40.1350;3
3.40.1390;3
3.50.7;3
3.60.10;3
3.60.15;3
3.70.10;3
3.90.76;3
3.90.400;3
3.90.520;3
3.90.1750;3
4.10.80;3
4.10.1240;3
1.10.60;2
1.10.225;2
1.10.290;2
1.10.506;2
1.10.520;2
1.10.579;2
1.10.800;2
1.10.860;2
1.10.890;2
1.10.940;2
1.10.1160;2
1.10.1170;2
1.10.1420;2
1.10.1660;2
1.10.1840;2
1.10.3290;2
1.10.3450;2
1.10.4090;2
1.10.4140;2
1.20.20;2
1.20.142;2
1.20.190;2
1.20.245;2
1.20.930;2
1.20.1150;2
1.20.1170;2
1.20.1260;2
1.20.1320;2
1.20.1530;2
1.20.1600;2
1.20.1670;2
1.20.1680;2
1.20.1710;2
2.10.109;2
2.10.110;2
2.20.70;2
2.20.130;2
