collection,query
6YF5A_6YSHB,6YSHB
6XRBA_6XRBA,6XRBA
6S5YA_6S5YE,6S5YE
6YNXF_6YNZf3,6YNZf3
3TTLA_3TTLB,3TTLB
7YQ0A_7YQ0A,7YQ0A
1B7BA_2WE5A,2WE5A
4WACA_4X7MA,4X7MA
2FUG3_2FUGC,2FUGC
1Y10A_1Y10B,1Y10B
6E3YR_7KNTR,7KNTR
3BRQA_3DBIB,3DBIB
4PE5B_5IPTB,5IPTB
2XYQA_2XYRA,2XYRA
5MUUD_5MUUD,5MUUD
4V6IAU_5WYKSZ,5WYKSZ
8HDJB_8HEQB,8HEQB
1UWEH_3MXWH,3MXWH
1BO5O_3EZWE,3EZWE
5JUOP_6XIQP2,6XIQP2
3M6KA_3M6ZA,3M6ZA
7R5JF0_7R5JF0,7R5JF0
7EIVA_7YSEB,7YSEB
3KF9A_3KF9C,3KF9C
8EXPA_8EXSA,8EXSA
5UZ9K_5UZ9K,5UZ9K
6CRJA_6CRJC,6CRJC
2E0TA_5GTJB,5GTJB
6P3HA_6P3HC,6P3HC
3J96G_6IP1E,6IP1E
1FFKO_2QEXR,2QEXR
2DHRA_2DHRA,2DHRA
5J30QY_6BOKGD,6BOKGD
1VYTA_8EOIJ,8EOIJ
2EZWA_3IM3A,3IM3A
2R0RA_3BQQD,3BQQD
6ZVRA_6ZVRAB,6ZVRAB
6CHGE_6UGMP,6UGMP
3ZGZA_4AS1A,4AS1A
2YVEA_2YVEB,2YVEB
1CQXA_3OZVB,3OZVB
4WICA_4WIDA,4WIDA
1KGCD_4GG6G,4GG6G
7P2Yb_7P3Nb,7P3Nb
7SQDA_7SQDP,7SQDP
2JTMA_5WWCA,5WWCA
6GCSD_7B0Na,7B0Na
6L6ZA_6L6ZA,6L6ZA
6XFJA_6XFJC,6XFJC
1IRUI_6EPC2,6EPC2
1VVJRE_5ZLUa,5ZLUa
2E0TA_5GTJA,5GTJA
5YU5A_5YU5A,5YU5A
7N6G0A_7N6G0E,7N6G0E
2V4DB_2V4DH,2V4DH
5BJSB_5M5GB,5M5GB
5BS6A_5DEQA,5DEQA
3Q10A_3Q10B,3Q10B
1ZTMA_1ZTMC,1ZTMC
6E25A_6N2PA,6N2PA
3RHWA_3RIAC,3RIAC
