name_file,name_ref,nb_members,aln_len,ref_len,coverage,percent_id,global_quality,rmsd_max,rmsd_mean,rmsd_std,X50%,X80%,X85%,X90%,X95%,X99%,X%var_1st,col_1st,ref_coverage,ref_percent_id,ref_global_quality,ref_rmsd_max,ref_rmsd_mean,ref_rmsd_std,ref_50%,ref_80%,ref_85%,ref_90%,ref_95%,ref_99%,ref_%var_1st,ref_col_1st,X50%_norm,X80%_norm,X85%_norm,X90%_norm,X95%_norm,X99%_norm,X%var_1st_norm,col_1st_norm,ref_50%_norm,ref_80%_norm,ref_85%_norm,ref_90%_norm,ref_95%_norm,ref_99%_norm,ref_%var_1st_norm,ref_col_1st_norm
6YF5A_6YSHB,6YSHB,6,90,81,0.911,0.923,0.879,3.38,2.42,0.715,2,2,2,3,3,5,0.477,0.29,1,1,1,3.38,3.06,0.284,1,1,2,2,2,4,0.821,0.618,2,3,3,4,4,5,0.425,0.803,1,2,2,3,4,5,0.638,0.956
6XRBA_6XRBA,6XRBA,10,152,150,0.934,0.958,0.931,2.02,1.051,0.573,2,2,3,4,5,8,0.459,0.433,0.947,0.954,0.931,2.02,1.905,0.094,1,1,1,2,2,6,0.872,0.492,1,3,4,5,6,8,0.542,0.918,1,1,2,2,4,6,0.826,0.972
6S5YA_6S5YE,6S5YE,8,163,161,0.988,0.986,0.979,2.255,1.065,0.577,1,1,1,2,3,4,0.884,0.749,1,0.998,0.998,2.135,1.031,0.625,1,1,1,1,2,4,0.917,0.732,1,2,3,3,4,6,0.672,0.961,1,2,2,3,4,5,0.686,0.951
6YNXF_6YNZf3,6YNZf3,6,200,200,1,1,1,11.41,6.903,5.507,1,1,1,1,1,1,1,0.161,1,1,1,11.4,6.893,5.508,1,1,1,1,1,1,1,0.161,1,1,1,1,1,2,0.987,0.999,1,1,1,1,1,1,0.99,0.999
3TTLA_3TTLB,3TTLB,5,335,335,1,1,1,3.835,2.391,1.695,1,1,1,1,1,1,0.99,0.703,1,1,1,3.835,2.905,1.524,1,1,1,1,1,1,0.995,0.702,1,1,1,2,2,3,0.887,0.986,1,1,1,1,2,3,0.915,0.99
3R90A_6MS4A,6MS4A,20,188,181,0.963,0.955,0.933,2.373,0.892,0.501,2,4,5,6,8,12,0.426,0.298,1,0.99,0.985,2.373,2.131,0.103,1,1,1,1,2,6,0.938,0.26,2,4,5,6,8,13,0.319,0.854,1,2,3,4,6,10,0.652,0.95
7YQ0A_7YQ0A,7YQ0A,6,173,173,1,1,1,2.42,1.112,0.903,1,1,2,2,2,3,0.837,0.109,1,1,1,2.42,2.306,0.059,1,1,1,1,1,2,0.969,0.109,1,2,2,3,3,4,0.575,0.915,1,2,2,2,3,4,0.594,0.943
1B7BA_2WE5A,2WE5A,11,309,309,0.994,0.995,0.992,3.711,1.923,1.076,1,2,2,2,3,5,0.754,0.347,0.994,0.995,0.992,3.711,2.971,0.888,1,1,1,1,2,3,0.93,0.344,1,3,3,4,5,8,0.61,0.935,1,2,2,3,4,7,0.782,0.974
4WACA_4X7MA,4X7MA,12,498,493,0.99,0.989,0.984,2.388,1.338,0.531,1,2,3,3,5,8,0.609,0.529,1,0.999,0.999,2.388,1.904,0.437,1,1,1,2,2,6,0.869,0.578,2,3,4,5,6,9,0.476,0.903,1,2,2,3,5,7,0.735,0.971
2FUG3_2FUGC,2FUGC,31,756,737,0.997,0.995,0.992,3.211,0.957,0.833,1,3,4,6,10,19,0.705,0.04,1,1,1,3.201,2.962,0.531,1,1,1,1,1,5,0.975,0.041,4,10,12,14,18,23,0.206,0.827,2,7,9,12,16,21,0.423,0.862
1Y10A_1Y10B,1Y10B,5,366,357,0.954,0.979,0.965,8.219,4.068,3.19,1,1,1,1,2,4,0.939,0.619,0.978,0.987,0.981,8.219,3.22,2.888,1,1,1,1,2,3,0.912,0.631,1,2,2,3,3,4,0.765,0.968,1,2,2,3,3,4,0.741,0.964
6E3YR_7KNTR,7KNTR,6,359,341,0.942,0.96,0.933,4.348,2.886,1.137,1,2,2,2,3,5,0.774,0.393,0.991,0.992,0.987,4.093,3.145,1.143,1,1,1,2,2,5,0.878,0.348,1,3,3,4,5,5,0.546,0.93,1,2,3,3,4,5,0.638,0.947
3BRQA_3DBIB,3DBIB,5,279,278,0.978,0.99,0.983,2.361,1.516,0.777,1,1,2,2,2,3,0.821,0.334,0.982,0.99,0.984,2.307,1.259,0.85,1,1,1,2,2,3,0.86,0.378,1,2,2,3,3,4,0.571,0.933,1,2,2,3,3,4,0.625,0.949
4PE5B_5IPTB,5IPTB,62,808,615,0.778,0.845,0.761,22.9,7.716,6.925,1,2,2,4,6,23,0.779,0.418,0.987,0.934,0.901,18.87,16.827,3.386,1,1,1,1,2,6,0.939,0.448,2,5,6,9,17,37,0.487,0.748,1,2,3,4,7,24,0.662,0.931
2XYQA_2XYRA,2XYRA,47,303,286,0.98,0.972,0.954,2.018,0.697,0.418,2,4,5,8,12,26,0.363,0.818,1,0.989,0.984,2.018,1.136,0.274,1,1,1,2,3,11,0.852,0.059,1,5,6,9,16,32,0.564,0.925,2,2,3,5,10,26,0.474,0.926
5MUUD_5MUUD,5MUUD,13,148,148,1,1,1,18.24,5.649,7.703,1,1,1,1,1,1,0.993,0.795,1,1,1,17.89,3.609,6.385,1,1,1,1,1,1,0.99,0.794,1,1,1,1,3,7,0.904,0.991,1,1,1,2,3,7,0.887,0.99
4V6IAU_5WYKSZ,5WYKSZ,9,105,101,0.857,0.911,0.851,9.754,2.948,3.489,1,1,1,1,2,5,0.94,0.547,0.891,0.919,0.878,9.744,2.119,2.893,1,1,1,1,2,5,0.923,0.561,1,2,2,3,5,7,0.753,0.861,1,2,3,3,5,7,0.712,0.877
8HDJB_8HEQB,8HEQB,5,162,159,0.92,0.929,0.884,3.038,1.839,0.935,1,1,2,2,2,2,0.827,0.111,0.937,0.921,0.881,3.038,2.365,0.669,1,1,1,1,2,2,0.935,0.147,1,2,2,2,2,3,0.648,0.942,1,2,2,2,2,3,0.786,0.976
1UWEH_3MXWH,3MXWH,50,237,220,0.89,0.813,0.697,7.857,2.777,1.834,1,3,4,6,11,23,0.749,0.663,0.959,0.837,0.756,7.857,2.733,1.896,1,1,2,3,7,18,0.844,0.686,1,5,6,8,13,26,0.587,0.882,1,4,5,7,11,23,0.649,0.945
1BO5O_3EZWE,3EZWE,30,500,492,0.982,0.984,0.975,2.215,0.986,0.546,1,3,3,5,8,17,0.697,0.579,0.996,0.993,0.99,2.046,1.707,0.445,1,1,1,1,3,7,0.926,0.521,1,5,6,9,13,21,0.538,0.909,1,2,3,5,9,18,0.751,0.966
5JUOP_6XIQP2,6XIQP2,10,94,94,1,1,1,7.908,3.128,2.382,1,2,3,3,4,7,0.745,0.697,1,1,1,7.908,7.677,0.248,1,1,1,1,1,4,0.966,0.696,1,3,4,4,5,8,0.518,0.935,1,2,3,3,4,6,0.77,0.964
3M6KA_3M6ZA,3M6ZA,5,377,372,0.971,0.979,0.969,2.116,1.44,0.352,1,2,3,3,4,4,0.654,0.462,0.984,0.992,0.988,2.116,1.582,0.41,1,1,2,2,3,4,0.83,0.499,1,3,3,4,4,4,0.501,0.896,1,2,3,3,4,4,0.648,0.937
7R5JF0_7R5JF0,7R5JF0,8,241,241,1,1,1,29,17.876,6.354,1,2,3,4,5,7,0.713,0.669,1,1,1,28.29,18.974,6.184,1,1,2,2,3,6,0.801,0.772,1,3,4,4,5,7,0.563,0.888,1,2,3,3,5,6,0.673,0.969
2KJ3A_2KJ3B,2KJ3B,18,79,79,0.899,0.912,0.868,7.5,3.802,1.673,2,4,4,5,7,9,0.362,0.412,0.899,0.912,0.868,7.5,6.055,1.02,1,1,2,2,4,7,0.823,0.287,2,4,5,6,7,11,0.324,0.832,1,3,4,5,6,9,0.569,0.881
7EIVA_7YSEB,7YSEB,8,300,299,0.947,0.956,0.934,2.769,1.747,1.004,1,1,1,1,2,5,0.908,0.503,0.95,0.96,0.939,2.747,1.829,0.983,1,1,1,1,2,4,0.934,0.492,1,2,2,3,4,6,0.774,0.923,1,1,2,2,3,6,0.813,0.932
3KF9A_3KF9C,3KF9C,6,169,149,0.882,0.816,0.724,15.76,8.437,4.273,1,2,2,2,2,4,0.682,0.558,1,0.914,0.87,15.69,8.554,4.904,1,1,2,2,2,3,0.812,0.725,1,2,2,3,4,4,0.533,0.827,1,2,2,2,3,4,0.662,0.963
