protein;tmflex
1ADEA_1HOPB;0.4460
1B7EA_1B7EA;0.4687
1C39A_2RL7D;0.6106
1C9PB_1C9TH;0.3603
1G57A_1IEZA;0.5141
1HL6B_1OO0A;0.6218
1JGNA_1JGNA;0.6792
1JQJA_1JQJA;0.8214
1JQJA_1MMIA;0.8135
1LREA_1OV2A;0.7492
1MPZA_1MPZA;0.4509
1SAWA_6FOHB;0.4276
1TKLA_1TXNA;0.6294
1W33A_1W3ZB;0.8076
1Y7MA_2MTZA;0.8249
1ZTPA_1ZTPA;0.3283
2BX2L_2VRTD;0.3669
2BX9A_2KO8A;0.2473
2GICA_6BJYB;0.2895
2GTTA_2GTTM;0.6594
2LHNA_5L2LB;0.3074
2V1SA_2V1TB;0.8198
3HZSA_3VMTA;0.7129
3PILA_3PINB;0.7815
4YX1A_4YX1A;0.2055
5D0YA_5D0YB;0.7652
5TVFB_5TVMB;0.2202
7AQCR_7AQCR;0.5032
